HTS 6D,naics
,31135X
180320,311320
,31135X
180400,311320
,31135X
180500,311320
,31135X
180610,311320
,31135X
180620,311320
,31135X
180631,311320
,31135X
180632,311320
,31135X
180690,311320
,31135X
190110,311514
190120,311822
,311824
190190,311513
,311514
,311930
,311942
,311999
,312120
190211,311823
,311824
,311999
190219,311823
,311824
,311999
190220,311412
,311422
,311999
190230,311412
,311422
,311991
,311999
190240,311824
,311999
190300,311221
190410,311230
190420,311230
190430,311230
,311999
190490,311230
,311999
190510,31181X
190520,31181X
190530,31181X
190531,31181X
190532,31181X
190540,31181X
190590,311412
,31181X
,311919
,311999
200110,311421
200120,311421
200190,311421
200210,311421
200290,311421
,311423
200310,311421
200320,311421
200390,311421
200410,311411
200490,311411
200510,311422
,311999
200520,311421
,311423
,311919
200540,311421
200551,311421
,311422
200559,311421
200560,311421
200570,311421
200580,311421
200590,311421
200591,311421
200599,311421
200600,311340
200710,311422
,311999
200791,311421
200799,311421
200811,311911
200819,311911
,311999
200820,311421
200830,311340
,311421
200840,311421
200850,311421
200860,311421
200870,311421
200880,311421
200891,311421
200892,311230
,311421
200893,311421
200897,311230
,311421
200899,311411
,311421
200911,311411
200912,311421
200919,311421
200920,311411
,311421
200921,311411
,311421
200929,311411
,311421
200930,311411
,311421
200931,311411
,311421
200939,311411
,311421
200940,311411
,311421
200941,311411
,311421
200949,311411
,311421
200950,311421
200960,311411
,311421
200961,311411
,311421
200969,311411
,311421
200970,311411
,311421
200971,311411
,311421
200979,311411
,311421
200980,311421
200981,311421
200989,311421
200990,311421
210111,311920
210112,311920
210120,311920
210130,311920
210210,311999
210220,311999
210230,311999
210310,311941
210320,311421
210330,311211
,311941
,311942
210390,311421
,311941
,311942
,311999
210410,311422
,311710
,311711
,311999
210420,311422
,311999
210500,311520
210610,311222
,311224
210690,311225
,311340
,311411
,311514
,311920
,311930
,311999
,312140
,325412
220110,312112
220190,312113
220210,312111
220290,311421
,311511
,312111
,312120
220291,312120
220299,311421
,311511
,312111
220300,312120
220410,312130
220421,312130
220422,312130
220429,312130
220430,312130
220510,312130
220590,312130
220600,312130
220710,312140
,325193
220720,325193
220820,312130
220830,312140
220840,312140
220850,312140
220860,312140
220870,312140
220890,311930
,312130
,312140
220900,311941
,311999
230110,311613
230120,114111
230210,311211
230220,311212
230230,311211
230240,311211
,311212
230250,311211
,311423
230310,311221
230320,31131X
230330,312120
230400,311222
,311224
230500,311223
,311224
230610,311223
,311224
230620,311223
,311224
230630,311223
,311224
230640,311223
230641,311223
,311224
230649,311223
